date,bread_cereals,dairy_eggs,drinks,fruit_nuts,household,meat,oils_fats,other_food,personal_care,sugar_sweets,tea_coffee,vegetables_pulses,overall
2026-09-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-09-12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-09-13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-09-14,100.76,100.0,100.0,100.69,100.0,100.0,101.96,100.0,100.0,100.0,100.0,99.4,100.23
2026-09-15,100.76,100.0,100.0,100.69,100.0,101.98,101.96,100.0,100.0,100.0,100.0,93.41,99.9
2026-09-16,100.76,100.75,100.0,106.42,100.0,101.98,101.96,100.94,102.58,100.0,103.06,93.41,100.99
2026-09-17,100.76,100.75,100.0,106.42,107.14,101.98,101.96,100.94,102.58,100.0,104.99,93.41,101.74
2026-09-18,100.76,100.75,100.0,100.71,107.14,101.98,101.96,100.94,102.58,100.0,104.99,99.4,101.77
2026-09-19,101.14,100.75,100.0,100.71,107.14,101.98,101.96,100.94,102.58,100.0,108.2,99.4,102.07
2026-09-20,101.14,100.75,100.0,100.71,107.14,100.14,101.96,100.94,102.58,100.0,108.2,99.4,101.91
2026-09-21,101.14,100.75,100.0,100.71,107.14,101.98,101.96,100.94,102.58,101.68,108.2,99.4,102.21
2026-09-22,101.14,100.75,100.0,100.71,107.14,102.18,101.96,100.94,122.0,101.68,108.2,99.4,103.84
2026-09-23,101.14,101.27,100.0,108.74,107.14,102.18,102.99,104.44,122.0,101.68,110.23,99.4,105.1
2026-09-24,101.14,98.87,100.0,104.36,107.14,105.11,102.99,104.44,122.0,101.68,110.23,97.29,104.6
2026-09-25,101.14,98.87,101.77,100.96,107.14,101.54,102.99,108.14,122.0,101.68,101.64,89.75,103.13
2026-09-26,101.14,98.87,101.77,100.96,107.14,89.03,102.99,108.14,122.0,101.68,101.64,91.79,102.26
