date,product_id,category,store,sku,name,store_id,regular_price,sale_price,loyalty_price,unit,net_amount,in_stock
2026-09-19,ekmek-sofra-adet,bread_cereals,migros,05120000,Sofra Ekmek Adet,20000000000607,2000,2000,2000,PIECE,,True
2026-09-19,pirinc-baldo-hasata-2kg,bread_cereals,migros,01011909,Hasata Gönen Baldo Pirinç 2 Kg,20000000000607,33195,33195,33195,PIECE,2000.0,True
2026-09-19,un-soke-2kg,bread_cereals,migros,05010402,Söke Un 2 Kg,20000000000607,9995,9995,9995,PIECE,2000.0,True
2026-09-19,bulgur-reis-pilavlik-1kg,bread_cereals,migros,01070038,Reis Pilavlık Bulgur 1 Kg,20000000000607,8495,8495,8495,PIECE,1000.0,True
2026-09-19,pilic-bonfile-banvit-kg,meat,migros,46040139,Banvit Piliç Bonfile Kg,20000000000607,26995,26995,26995,GRAM,,True
2026-09-19,dana-kiyma-kg,meat,migros,25010073,Dana Kıymalık Kg,20000000000607,86995,86995,86995,GRAM,,True
2026-09-19,sucuk-cumhuriyet-kg,meat,migros,14206002,Cumhuriyet Parmak Sucuk Kg,20000000000607,219900,219900,219900,GRAM,,True
2026-09-19,sut-sek-1l,dairy_eggs,migros,11019550,Sek Yeni Nesil Pastörize Günlük Süt 1 L,20000000000607,9995,9995,9995,PIECE,1000.0,True
2026-09-19,peynir-beyaz-ekici-kg,dairy_eggs,migros,10017209,Ekici Beyaz Peynir Kg,20000000000607,41190,41190,41190,GRAM,,True
2026-09-19,yogurt-sutas-1kg,dairy_eggs,migros,12500986,Sütaş Tava Yoğurt 1000 G,20000000000607,12995,12995,12995,PIECE,1000.0,True
2026-09-19,yumurta-naturakoy-15li,dairy_eggs,migros,46054277,Naturaköy Gezen 15'li Yumurta M Orta Boy (53-62) G,20000000000607,16995,16995,16995,PIECE,,True
2026-09-19,tereyagi-migros-1kg,oils_fats,migros,12017028,Migros Tereyağı 1 Kg,20000000000607,47900,47900,47900,PIECE,1000.0,True
2026-09-19,aycicek-yagi-migros-5l,oils_fats,migros,04112441,Migros Ayçiçek Yağı 5 L,20000000000607,47995,47995,47995,PIECE,5000.0,True
2026-09-19,zeytinyagi-yudum-1l,oils_fats,migros,04130057,Yudum Egemden Sızma Zeytinyağı Yumuşak Lezzet 1 L,20000000000607,52495,52495,52495,PIECE,1000.0,True
2026-09-19,margarin-sana-500g,oils_fats,migros,04205115,Sana Kase Margarin Tereyağı Lezzeti 500 G,20000000000607,9990,9990,9990,PIECE,500.0,False
2026-09-19,muz-yerli-kg,fruit_nuts,migros,27270000,Muz Yerli Kg,20000000000607,10495,10495,10495,GRAM,,True
2026-09-19,elma-gala-kg,fruit_nuts,migros,27136000,Elma Gala Kg,20000000000607,4995,4995,4995,GRAM,,True
2026-09-19,portakal-kg,fruit_nuts,migros,27304007,Portakal Kg,20000000000607,6295,6295,6295,GRAM,,True
2026-09-19,ceviz-masterfarm-150g,fruit_nuts,migros,08079757,Master Farm Yerli Ceviz İçi 150 G,20000000000607,16495,16495,16495,PIECE,150.0,True
2026-09-19,domates-kg,vegetables_pulses,migros,28080000,Domates Kg,20000000000607,4195,4195,4195,GRAM,,True
2026-09-19,patates-kg,vegetables_pulses,migros,28293387,Patates Yeni Mahsul Kg,20000000000607,4195,4195,4195,GRAM,,True
2026-09-19,sogan-kuru-kg,vegetables_pulses,migros,28390007,Soğan Kuru (Yeni Mahsul) Kg,20000000000607,3695,3695,3695,GRAM,,True
2026-09-19,mercimek-yesil-migros-1kg,vegetables_pulses,migros,01050013,Migros Yerli Yeşil Mercimek 1 Kg,20000000000607,6695,6695,6695,PIECE,1000.0,True
2026-09-19,nohut-reis-1kg,vegetables_pulses,migros,01040018,Reis Koçbaşı Nohut 1 Kg,20000000000607,19495,19495,19495,PIECE,1000.0,True
2026-09-19,seker-toz-migros-5kg,sugar_sweets,migros,03310006,Migros Toz Şeker 5 Kg,20000000000607,19900,19900,19900,PIECE,5000.0,True
2026-09-19,bal-balparmak-850g,sugar_sweets,migros,07079692,Balparmak Yayla ve Ova Çiçek Balı 850 G,20000000000607,69950,69950,52450,PIECE,850.0,True
2026-09-19,cikolata-ulker-sutlu-60g,sugar_sweets,migros,07038030,Ülker Bol Sütlü Kare Çikolata 60 G,20000000000607,6995,6995,6995,PIECE,60.0,True
2026-09-19,salca-domates-migros-830g,other_food,migros,09011332,Migros Domates Salçası 830 G,20000000000607,5595,5595,5595,PIECE,830.0,True
2026-09-19,tuz-billur-750g,other_food,migros,06021102,Billur Tuz Rafine İyotlu Sofra Tuzu 750 G,20000000000607,3850,3850,3850,PIECE,750.0,True
2026-09-19,karabiber-knorr-60g,other_food,migros,06010084,Knorr Baharat Serisi Karabiber 60 G,20000000000607,11995,11995,11995,PIECE,60.0,True
2026-09-19,cay-caykur-tiryaki-1kg,tea_coffee,migros,03111315,Çaykur Tiryaki Çayı 1 Kg,20000000000607,41995,41995,41995,PIECE,1000.0,True
2026-09-19,kahve-mehmet-efendi-100g,tea_coffee,migros,03211601,Kurukahveci Mehmet Efendi Türk Kahvesi 100 G,20000000000607,11000,11000,11000,PIECE,100.0,True
2026-09-19,su-hamidiye-5l,drinks,migros,08028231,Hamidiye Kaynak Suyu Pet  5 L,20000000000607,3650,3650,3650,PIECE,5000.0,True
2026-09-19,maden-suyu-kizilay-6x200ml,drinks,migros,08900069,Kızılay Erzincan Doğal Maden Suyu 6 x 200 Ml,20000000000607,6670,6670,6670,PIECE,1200.0,True
2026-09-19,meyve-suyu-tamek-1l,drinks,migros,08059121,Tamek %100 Karışık Meyve Suyu 1 Lt,20000000000607,9995,9995,7495,PIECE,1000.0,True
2026-09-19,kola-cocacola-zero-6x250ml,drinks,migros,08019112,Coca-Cola Zero Sugar Kutu 6 x 250 Ml,20000000000607,30000,30000,30000,PIECE,1500.0,True
2026-09-19,bulasik-deterjani-fairy-1350ml,household,migros,30610382,Fairy Sıvı Bulaşık Deterjanı Limon 1350 Ml,20000000000607,23995,23995,23995,PIECE,,True
2026-09-19,camasir-deterjani-mroxy-1480ml,household,migros,30530456,Mr.Oxy Arap Sabunu Soda Katkılı Çamaşır Deterjanı Beyazlar 1.480 Ml,20000000000607,12995,12995,12995,PIECE,,False
2026-09-19,tuvalet-kagidi-familia-32li,household,migros,31010063,Familia Plus Natural Tuvalet Kağıdı 32'li,20000000000607,48995,48995,48995,PIECE,,True
2026-09-19,sampuan-gliss-400ml,personal_care,migros,34243085,Gliss Full Hair Wonder Şampuan 400 Ml,20000000000607,9995,9995,9995,PIECE,,True
2026-09-19,dis-macunu-signal-75ml,personal_care,migros,34014848,Signal White System Diş Macunu 75 Ml,20000000000607,15495,15495,15495,PIECE,,True
2026-09-19,ekmek-200g-a101,bread_cereals,a101,14000041,Ekmek 200 g,VS032,1600,1600,,PIECE,200,True
2026-09-19,pirinc-baldo-1kg-a101,bread_cereals,a101,14001902,Ovadan Baldo Pirinç 1 kg,VS032,8700,8700,,PIECE,1000,True
2026-09-19,un-2kg-a101,bread_cereals,a101,28000297,Söke Gelenek Buğday Unu 2 kg,VS032,8500,8500,,PIECE,2000,True
2026-09-19,bulgur-pilavlik-1kg-a101,bread_cereals,a101,14001908,Yöremce Pilavlık Bulgur 1 kg,VS032,3400,3400,,PIECE,1000,True
2026-09-19,pilic-bonfile-1kg-a101,meat,a101,11001793,Hastavuk Piliç Bonfile Dondurulmuş 1 kg,VS032,17900,17900,,PIECE,1000,True
2026-09-19,dana-kiyma-1kg-a101,meat,a101,11003240,Ettat Dana Kıyma Dondurulmuş 1 kg,VS032,64500,64500,,PIECE,1000,True
2026-09-19,sucuk-450g-a101,meat,a101,11002886,Torku Dana Kangal Sucuk 450 g,VS032,41900,41900,,PIECE,450,True
2026-09-19,sut-pinar-1l-a101,dairy_eggs,a101,12003704,Pınar %1 Yağlı Süt 1 L,VS032,6500,6500,,PIECE,1000,True
2026-09-19,peynir-beyaz-1kg-a101,dairy_eggs,a101,12002642,Ahır Tam Yağlı Taze Beyaz Peynir 1 kg,VS032,26500,22500,,PIECE,1000,True
2026-09-19,yogurt-1kg-a101,dairy_eggs,a101,12003151,Torku Yarım Yağlı Yoğurt 1 kg,VS032,9500,8950,,PIECE,1000,True
2026-09-19,yumurta-15li-a101,dairy_eggs,a101,11002425,Yumurta L Boy 15'li,VS032,9500,9500,,PIECE,,True
2026-09-19,tereyagi-1kg-a101,oils_fats,a101,12002655,Milkten Tereyağı 1 kg,VS032,49900,46900,,PIECE,1000,True
2026-09-19,zeytinyagi-1l-a101,oils_fats,a101,19001044,Yudum Egemden Riviera Zeytinyağı 1 L,VS032,29900,29900,,PIECE,1000,True
2026-09-19,margarin-250g-a101,oils_fats,a101,19000988,Vera Margarin Paket 250 g,VS032,2600,2600,,PIECE,250,True
2026-09-19,muz-a101,fruit_nuts,a101,20000802,İthal Muz kg,VS032,11490,9790,,GRAM,,True
2026-09-19,portakal-a101,fruit_nuts,a101,20000816,Portakal kg,VS032,4950,4950,,GRAM,,True
2026-09-19,ceviz-ici-150g-a101,fruit_nuts,a101,15000501,Çerezya Ceviz İçi 150 g,VS032,10900,10900,,PIECE,150,True
2026-09-19,domates-a101,vegetables_pulses,a101,20000761,Domates kg,VS032,4950,4950,,GRAM,,True
2026-09-19,patates-a101,vegetables_pulses,a101,20000794,Patates kg,VS032,3590,2990,,GRAM,,True
2026-09-19,sogan-a101,vegetables_pulses,a101,20000796,Soğan kg,VS032,3590,2990,,GRAM,,True
2026-09-19,mercimek-yesil-1kg-a101,vegetables_pulses,a101,14001928,Yöremce Yeşil Mercimek 1 kg,VS032,6750,6750,,PIECE,1000,True
2026-09-19,nohut-1kg-a101,vegetables_pulses,a101,14001922,Yöremce Yerli Koçbaşı Nohut 1 kg,VS032,6250,6250,,PIECE,1000,True
2026-09-19,seker-5kg-a101,sugar_sweets,a101,14001721,Petek Toz Şeker 5 kg,VS032,21900,21900,,PIECE,5000,True
2026-09-19,bal-850g-a101,sugar_sweets,a101,16002280,Kozan Kooperatif Süzme Çiçek Balı 850 g,VS032,19900,19900,,PIECE,850,True
2026-09-19,cikolata-sutlu-60g-a101,sugar_sweets,a101,27000755,Ülker Sütlü Çikolata 60 g,VS032,6900,6900,,PIECE,60,True
2026-09-19,salca-830g-a101,other_food,a101,18002057,Çokça Domates Salçası 830 g,VS032,5500,5500,,PIECE,830,True
2026-09-19,tuz-750g-a101,other_food,a101,18002391,Billur İyotlu Tuz 750 g,VS032,3750,3750,,PIECE,750,True
2026-09-19,karabiber-75g-a101,other_food,a101,18002376,Diyar Baharat Karabiber 75 g,VS032,5750,5750,,PIECE,75,True
2026-09-19,cay-1kg-a101,tea_coffee,a101,13000056,Çaykur Tiryaki Siyah Çay 1 kg,VS032,38900,38900,,PIECE,1000,True
2026-09-19,turk-kahvesi-100g-a101,tea_coffee,a101,13000067,Kurukahveci Mehmet Efendi Türk Kahvesi 100 g,VS032,11000,11000,,PIECE,100,True
2026-09-19,su-5l-a101,drinks,a101,13000090,Su 5 L,VS032,3600,3600,,PIECE,5000,True
2026-09-19,maden-suyu-6li-a101,drinks,a101,13001084,Beypazarı Sade Maden Suyu 6x200 ml,VS032,5950,5950,,PIECE,1200,True
2026-09-19,meyve-suyu-1l-a101,drinks,a101,13001176,Dimes %100 Karışık Meyve Suyu 1 L,VS032,10500,10500,,PIECE,1000,True
2026-09-19,kola-zero-6li-a101,drinks,a101,13000258,Coca-Cola Zero 6x250 ml,VS032,27500,27500,,PIECE,1500,True
2026-09-19,bulasik-deterjani-1500ml-a101,household,a101,22002879,Bingo Premium Lime Bulaşık Deterjanı 1500 ml,VS032,23900,23900,,PIECE,1500,True
2026-09-19,camasir-deterjani-1500ml-a101,household,a101,22002779,Omo Beyaz & Renkliler Sıvı Deterjan 1500 ml,VS032,24900,24900,,PIECE,1500,True
2026-09-19,tuvalet-kagidi-32li-a101,household,a101,23001492,Logi Tuvalet Kağıdı 3 Katlı 32'li,VS032,22900,22900,,PIECE,,True
2026-09-19,sampuan-400ml-a101,personal_care,a101,24004330,Elidor Onarıcı Şampuan 400 ml,VS032,21900,13100,,PIECE,400,True
2026-09-19,dis-macunu-75ml-a101,personal_care,a101,24006170,Sensodyne Diş Macunu 75 ml,VS032,15000,7500,,PIECE,75,True
